,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L01696.1,0,0,0,0,0,0,0,0,0
Eucgr.L01521.1,19,18,16,14,3,9,12,15,25
Eucgr.L01523.1,0,0,3,1,0,0,2,6,5
Eucgr.L01522.1,5,18,11,20,14,17,6,11,12
Eucgr.L01520.1,16,23,20,7,3,26,21,42,54
Eucgr.L01519.1,4,2,4,3,1,4,2,32,14
Eucgr.L02929.1,8,13,14,0,0,5,1,3,1
Eucgr.L03117.1,2,3,9,1,4,6,153,52,224
Eucgr.L03523.1,0,0,0,0,1,0,0,0,0
Eucgr.L03617.1,1,0,2,0,0,0,0,0,3
Eucgr.L02447.1,0,2,0,1,0,0,0,0,1
Eucgr.L01885.1,0,0,0,0,0,0,0,0,0
Eucgr.L02585.1,10,9,16,30,20,44,15,9,18
Eucgr.L03388.1,12,14,9,0,2,0,23,6,32
Eucgr.L02811.1,0,3,1,0,0,0,2,0,0
Eucgr.L02007.1,11,0,3,0,0,0,0,0,0
Eucgr.L02517.1,610,561,755,416,397,447,757,552,702
Eucgr.L03012.1,0,0,0,0,0,0,0,0,0
Eucgr.L03744.1,79,18,36,4,3,6,1,7,21
Eucgr.L02295.1,2,0,0,0,0,0,0,0,0
Eucgr.L01672.1,13,17,22,2,7,3,115,29,97
Eucgr.L02957.1,23,0,10,0,0,0,32,0,71
Eucgr.L02292.1,0,0,0,0,0,0,0,0,0
Eucgr.L02182.1,0,0,0,0,0,0,0,0,0
Eucgr.L01801.1,0,0,0,0,0,0,0,0,0
Eucgr.L01803.1,1,0,1,0,0,0,0,0,1
Eucgr.L01802.1,0,0,0,3,0,0,0,0,0
Eucgr.L01293.1,0,0,0,0,0,1,0,0,0
Eucgr.L01290.1,0,0,0,0,0,0,0,0,0
Eucgr.L01292.1,0,0,0,0,1,0,0,0,0
Eucgr.L01291.1,1,0,0,7,0,0,0,0,2
Eucgr.L02951.1,0,1,2,4,2,2,1,0,19
Eucgr.L03470.1,0,0,0,0,0,0,0,0,0
