,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.B03423.1,0,0,2,1,1,3,2,2,0
Eucgr.B03437.1,152,79,127,167,226,173,371,307,241
Eucgr.B00419.1,0,0,0,0,0,0,0,0,0
Eucgr.B00791.1,1,3,0,1,0,3,4,0,7
Eucgr.B02942.1,1027,1500,981,1501,1245,1597,1774,1162,3200
Eucgr.B00089.1,0,0,0,0,0,0,0,0,0
Eucgr.B04022.1,0,0,0,0,0,0,0,0,0
Eucgr.B03110.1,7066,4282,5325,6379,6010,7881,6294,4953,5974
Eucgr.B02689.1,282,254,233,312,229,345,204,183,234
Eucgr.B02697.1,2190,2584,2438,3050,2282,2879,2475,1792,2327
Eucgr.B00838.1,17,15,11,1,3,3,20,1,5
Eucgr.B00327.1,2,0,4,0,1,0,4,1,10
Eucgr.B01417.1,12,16,15,22,20,33,30,30,44
Eucgr.B00651.1,10,12,29,5,0,11,29,16,15
Eucgr.B03383.1,0,0,0,0,0,0,0,0,0
Eucgr.B03107.1,34,42,37,11,19,16,33,52,9
Eucgr.B02589.1,71,79,35,74,74,135,70,57,101
Eucgr.B02867.1,2817,7272,5767,21072,10346,14512,2046,2171,4363
Eucgr.B03082.1,323,72,253,254,184,167,60,55,54
Eucgr.B02824.1,0,1,0,7,4,0,3,0,1
Eucgr.B01548.1,179,165,190,154,100,166,185,119,233
Eucgr.B00869.1,0,0,0,0,0,0,0,0,0
Eucgr.B03301.1,1084,1372,1164,1805,1258,1714,962,982,1112
Eucgr.B00567.1,515,294,512,267,253,432,435,450,693
Eucgr.B03873.1,742,908,1004,1147,731,1134,1325,1366,1474
Eucgr.L00252.1,270,366,306,496,298,407,232,270,305
Eucgr.B00568.1,114,174,197,200,197,269,167,291,142
Eucgr.B03279.1,1,0,1,1,0,5,0,1,9
Eucgr.B00313.1,107,27,233,481,346,683,17,21,1
Eucgr.B03760.1,112,88,115,80,105,95,116,129,171
Eucgr.B00810.1,0,15,3,10,5,8,3,4,45
Eucgr.B02532.1,8823,4610,7078,8924,9301,11182,8410,8389,9087
Eucgr.B00230.1,0,0,0,0,0,0,0,0,0
Eucgr.B04009.1,8,4,5,2,5,8,4,2,8
Eucgr.B02936.1,816,334,572,343,349,531,566,509,662
Eucgr.B02528.1,74,168,130,102,75,52,65,50,59
Eucgr.B03263.1,0,0,0,0,0,0,0,0,0
Eucgr.B03604.1,3010,3570,3190,3683,2806,3857,2977,2959,3326
Eucgr.B03820.1,18,18,21,97,51,62,22,6,34
Eucgr.B01395.1,0,0,0,0,0,2,0,2,0
Eucgr.B02139.1,0,0,0,0,0,0,0,0,0
Eucgr.B00543.1,1,3,7,20,2,15,4,1,5
Eucgr.B02452.1,0,0,0,0,0,0,0,0,0
Eucgr.B03781.1,138,55,135,61,83,123,14,21,81
Eucgr.B03392.1,13,27,14,55,58,65,31,21,109
Eucgr.B00814.1,0,0,0,0,0,0,0,0,0
Eucgr.B00677.1,4,0,3,0,0,0,8,8,4
Eucgr.B02995.1,466,376,506,359,288,407,693,505,779
Eucgr.B01666.1,136,134,103,241,149,234,94,68,277
Eucgr.B01192.1,0,0,0,0,0,0,0,0,0
Eucgr.B02997.1,1,0,0,3,3,3,0,13,1
Eucgr.B03367.1,384,345,409,448,356,537,419,301,372
Eucgr.B01578.1,3149,4453,3754,5279,3857,3889,1362,1982,2205
Eucgr.B03712.1,567,649,657,506,431,596,813,657,819
Eucgr.B00316.1,2365,1137,2036,688,908,778,1758,1233,1118
Eucgr.B02600.1,1456,1779,1519,2155,1749,2108,1522,1323,1653
Eucgr.B00844.1,5,4,8,10,19,18,91,44,50
Eucgr.B00782.1,0,7,0,2,2,0,5,9,13
Eucgr.B00176.1,129,116,127,149,79,121,68,175,97
Eucgr.B03258.1,0,1,0,0,0,0,0,0,1
Eucgr.B00108.1,388,454,363,492,599,660,1110,1125,1356
Eucgr.B03882.1,46,5,32,0,5,3,13,22,34
Eucgr.B03994.1,3,15,8,5,8,1,13,6,9
Eucgr.B03188.1,95,134,95,104,88,148,180,128,198
Eucgr.B00066.1,0,0,0,0,0,0,0,0,0
Eucgr.B03579.1,4,1,0,3,0,3,3,3,4
Eucgr.B00368.1,154,98,105,94,117,139,226,307,272
Eucgr.B03204.1,383,522,329,601,412,540,224,251,231
Eucgr.B01643.1,1,0,1,5,5,6,1,0,0
Eucgr.B00739.1,0,0,0,0,0,0,0,0,0
Eucgr.B03731.1,511,781,722,820,695,806,604,855,822
Eucgr.B03374.1,33,41,25,129,64,183,98,38,124
Eucgr.B00424.1,3,0,4,0,2,7,11,7,13
Eucgr.B01424.1,1324,369,998,315,406,666,4045,2015,3764
Eucgr.B00309.1,0,0,0,0,0,0,2,0,0
Eucgr.B03510.1,10,46,50,195,97,100,11,19,34
Eucgr.B03217.1,342,274,256,245,223,283,188,215,172
Eucgr.B03459.1,112,111,192,187,111,188,47,81,102
Eucgr.B03529.1,339,399,347,250,162,255,253,372,296
Eucgr.B01115.1,0,3,0,0,1,4,0,0,0
Eucgr.B01827.1,0,0,1,0,0,0,3,0,0
Eucgr.B00528.1,10,9,4,5,12,12,15,17,14
Eucgr.B00962.1,0,0,1,0,0,0,0,0,4
Eucgr.B00686.1,5,3,0,2,3,2,0,0,1
Eucgr.B02484.1,0,0,0,0,0,0,0,1,0
Eucgr.B00638.1,10,7,4,11,9,17,132,111,182
Eucgr.B01810.1,4,23,28,4,8,0,26,6,28
Eucgr.B02160.1,0,0,0,0,0,1,0,0,0
Eucgr.B00766.1,2,2,0,0,0,0,2,0,0
Eucgr.B01921.1,1030,1193,1238,1000,840,938,1095,1497,1612
Eucgr.B00482.1,0,0,0,0,0,0,0,0,0
Eucgr.B01422.1,12,11,21,5,25,12,15,4,15
Eucgr.B02979.1,0,0,0,0,0,0,0,0,0
Eucgr.B00508.1,124,84,95,162,143,232,269,322,287
Eucgr.B02582.1,99,178,137,177,129,219,151,203,244
Eucgr.B00901.1,0,0,0,0,0,0,0,0,0
Eucgr.B01523.1,387,438,455,500,427,469,251,258,352
Eucgr.B03929.1,92,106,109,28,35,39,133,174,327
Eucgr.B00216.1,0,0,0,0,0,0,0,0,0
Eucgr.B03296.1,0,0,0,0,0,0,0,0,0
Eucgr.B03979.1,78,97,73,62,43,62,75,77,95
Eucgr.B02256.1,35,4,89,6,5,6,20,10,19
Eucgr.B02130.1,0,0,0,0,0,0,0,0,0
Eucgr.B03000.1,1,2,0,0,0,0,43,0,2
Eucgr.B03626.1,166,110,256,240,155,215,129,148,36
Eucgr.B01535.1,0,0,0,0,0,0,0,0,0
Eucgr.B03723.1,198,250,232,203,186,214,185,284,208
Eucgr.B00474.1,0,0,0,0,0,0,0,0,0
Eucgr.B01180.1,60,62,51,116,87,81,136,13,144
Eucgr.B02223.1,973,749,837,484,502,555,602,901,1124
Eucgr.B02542.1,28,2,22,12,4,6,47,144,337
Eucgr.B02418.1,1,0,0,6,4,1,2,13,37
Eucgr.B03989.1,0,0,0,0,0,0,0,0,0
Eucgr.B01489.1,0,0,0,0,0,0,0,0,0
Eucgr.B00561.1,0,0,0,1,0,0,0,0,2
Eucgr.B03885.1,10,5,9,2,3,5,0,1,11
Eucgr.B01630.1,3,4,8,3,3,1,14,1,2
Eucgr.B02955.1,476,516,439,545,422,611,665,552,666
Eucgr.B03845.1,432,611,488,446,478,523,596,614,669
Eucgr.B02541.1,0,2,0,0,0,0,0,0,0
Eucgr.B03173.1,296,357,286,428,290,389,319,255,300
Eucgr.B02627.1,321,624,403,188,153,175,322,311,207
Eucgr.B00184.1,9,2,17,0,4,3,38,2,3
Eucgr.B00560.1,19,25,19,22,12,24,45,17,45
Eucgr.B03561.1,475,408,476,372,342,419,312,415,365
Eucgr.B02852.1,0,0,1,0,1,0,7,14,76
Eucgr.B01473.1,0,0,0,0,0,0,0,0,0
Eucgr.B01990.1,1294,1446,1311,1541,1303,1613,1922,1380,1617
Eucgr.B01956.1,28,39,32,5,4,6,95,69,3
Eucgr.B03831.1,4,11,14,8,4,9,8,11,15
Eucgr.B03523.1,0,0,0,0,0,0,0,0,0
Eucgr.B00694.1,2,2,0,0,0,2,0,0,0
Eucgr.B02084.1,0,0,0,3,0,0,1,0,0
Eucgr.B01870.1,15,5,16,7,3,8,10,2,20
Eucgr.B01678.1,16,3,12,83,54,84,21,36,8
Eucgr.B03240.1,520,414,347,363,313,449,410,406,403
Eucgr.B00970.1,0,6,2,0,0,0,5,3,4
Eucgr.B02290.1,0,0,0,2,0,0,2,0,1
Eucgr.B03177.1,1,1,4,0,1,0,6,3,5
Eucgr.B00282.1,0,4,0,1,3,3,0,0,0
Eucgr.B03197.1,421,629,513,600,455,605,429,494,521
Eucgr.B02517.1,170,162,170,57,46,89,105,64,48
Eucgr.B02927.1,0,0,0,0,0,1,0,0,1
Eucgr.B00371.1,108,112,87,138,100,199,162,119,140
Eucgr.B01561.1,1,7,0,4,1,8,2,2,4
Eucgr.B03897.1,554,494,620,586,372,543,312,394,480
Eucgr.B01986.1,0,0,0,0,0,0,0,0,0
Eucgr.B00119.1,0,0,0,2,0,2,1,0,1
Eucgr.B01148.1,30,6,20,9,4,8,21,3,19
Eucgr.B00649.1,55,32,86,33,13,30,21,37,65
Eucgr.B00630.1,0,0,0,0,0,0,0,0,0
Eucgr.B03762.1,33,26,44,85,43,217,32,104,159
Eucgr.B02819.1,0,0,0,0,0,0,0,0,0
Eucgr.B03322.1,0,0,0,0,1,0,0,0,0
Eucgr.B00443.1,0,6,0,27,21,21,224,120,27
Eucgr.B02908.1,384,174,340,185,230,219,299,485,719
Eucgr.B01434.1,0,1,0,4,1,3,0,4,4
Eucgr.B02553.1,47,18,36,8,9,7,29,15,40
Eucgr.B00244.1,55,46,60,40,56,46,72,58,78
Eucgr.B00833.1,0,0,0,0,0,0,0,0,0
Eucgr.B00228.1,406,250,385,672,677,1050,683,645,578
Eucgr.B01483.1,0,0,0,0,1,3,0,1,0
Eucgr.B02413.1,0,0,0,0,0,0,0,0,0
Eucgr.B03803.1,790,768,531,813,570,754,602,448,526
Eucgr.B03475.1,0,0,1,3,1,0,0,0,0
Eucgr.B03095.1,54,74,63,112,86,168,95,87,238
Eucgr.B01003.1,33,140,68,159,168,243,167,85,392
Eucgr.B00114.1,2,0,0,0,0,2,1,0,0
Eucgr.B03565.1,0,0,0,0,0,0,0,0,0
Eucgr.B00523.1,17040,4620,9458,3664,8243,5795,16591,23313,28744
Eucgr.B01349.1,0,0,0,0,0,0,0,0,0
Eucgr.B02630.1,33,89,41,24,25,33,63,70,123
Eucgr.B00664.1,294,279,322,166,173,206,386,396,367
Eucgr.B01812.1,0,0,4,0,0,1,0,0,5
Eucgr.B01256.1,8,1,4,0,0,1,0,1,82
Eucgr.B01782.1,0,0,0,0,0,0,0,0,0
Eucgr.B01794.1,0,4,2,1,0,0,1,2,1
Eucgr.B00400.1,752,1221,1107,972,835,906,2240,1717,1121
Eucgr.B01920.1,342,59,289,17,23,21,51,13,17
Eucgr.B03663.1,71,61,77,8,31,58,88,63,144
Eucgr.B02427.1,3,0,1,0,1,1,10,2,7
Eucgr.B02537.1,0,1,2,1,0,3,0,2,0
Eucgr.B02241.1,0,0,0,0,0,0,0,0,0
Eucgr.B01808.1,0,0,0,0,0,0,0,0,1
Eucgr.B02074.1,71,164,106,218,248,175,170,116,48
Eucgr.B00139.1,226,80,167,203,201,216,207,327,180
Eucgr.B03541.1,2,3,1,0,0,0,2,1,5
Eucgr.B03184.1,0,1,0,0,0,0,3,3,0
Eucgr.B01717.1,23,22,23,24,14,23,14,8,11
Eucgr.B03922.1,132,126,137,104,96,81,152,148,156
Eucgr.B02439.1,8,2,4,0,0,0,12,23,68
Eucgr.B03984.1,2970,2004,3663,7954,5595,8254,779,521,1099
Eucgr.B03136.1,1,6,1,8,5,15,17,28,167
Eucgr.B02947.1,286,92,242,87,135,108,194,181,251
Eucgr.B00117.1,0,0,0,0,0,0,0,0,0
Eucgr.B02557.1,64,34,49,21,30,45,100,64,124
Eucgr.B03913.1,22,7,25,6,2,5,19,8,6
Eucgr.B03042.1,492,935,618,597,517,607,561,598,577
Eucgr.B02385.1,0,1,0,0,0,0,0,0,0
Eucgr.B03687.1,218,470,362,2054,1020,1747,117,132,181
Eucgr.B03005.1,0,0,0,0,0,0,0,1,0
Eucgr.B01050.1,0,2,0,0,0,0,10,0,1
Eucgr.B03102.1,0,0,0,0,0,0,1,4,0
Eucgr.B01521.1,0,0,0,0,0,0,0,0,0
Eucgr.B00438.1,1059,1306,1062,1584,1127,1473,1702,1462,1524
Eucgr.B03958.1,235,162,231,114,143,146,345,208,507
Eucgr.B00276.1,0,0,0,0,0,0,0,0,0
Eucgr.B03877.1,569,561,480,304,570,567,706,690,846
Eucgr.B00679.1,0,0,0,0,0,0,0,0,0
Eucgr.B00243.1,153,177,160,128,103,124,114,135,147
Eucgr.B00423.1,2761,4480,2762,3252,2172,3074,1869,1786,2503
Eucgr.B04030.1,9,1,15,0,1,0,36,0,0
Eucgr.B03798.1,1292,2755,3044,1219,573,1064,230,283,293
Eucgr.B01526.1,108,111,91,62,81,98,188,151,243
Eucgr.B03975.1,112,81,93,48,60,70,157,156,128
Eucgr.B03126.1,1,0,2,0,2,1,1,3,1
Eucgr.B03794.1,147,330,170,273,175,327,214,172,358
Eucgr.B02299.1,0,1,0,0,4,1,1,2,7
Eucgr.B00944.1,29,8,17,4,5,3,13,28,38
Eucgr.B02386.1,0,0,0,0,0,0,0,0,0
Eucgr.B03159.1,52,43,53,33,36,57,51,0,113
Eucgr.B00074.1,915,1299,1082,1778,1298,1834,851,1276,1178
Eucgr.B00628.1,1,1,7,1,4,1,0,1,2
Eucgr.B02628.1,480,493,590,709,527,836,977,754,1065
Eucgr.B03807.1,0,0,0,0,0,0,0,0,0
Eucgr.B01822.1,0,5,1,5,8,3,1,2,0
Eucgr.B03763.1,0,0,0,0,0,0,0,3,0
Eucgr.B02180.1,1135,396,931,357,537,512,773,704,746
Eucgr.B02559.1,51,42,48,70,52,63,109,110,87
Eucgr.B01130.1,0,3,5,7,3,8,3,4,28
Eucgr.B02370.1,291,138,233,33,95,147,308,300,476
Eucgr.B01856.1,15,11,14,14,10,5,11,30,26
Eucgr.B00608.1,35,27,51,31,27,54,97,120,182
Eucgr.B03441.1,11,10,4,41,59,51,17,54,32
Eucgr.B00837.1,1,0,0,1,0,0,0,3,0
Eucgr.B03487.1,113,139,74,102,82,125,112,100,120
Eucgr.B02141.1,252,333,247,805,495,1104,113,189,63
Eucgr.B03058.1,0,0,0,0,0,0,0,0,0
Eucgr.B03533.1,41,23,11,22,21,26,34,25,32
Eucgr.B03600.1,0,0,0,0,0,0,0,0,0
Eucgr.B00211.1,2798,3880,3261,4684,3076,4327,2640,2938,3537
Eucgr.B01581.1,3,1,0,0,0,0,0,0,1
Eucgr.B00961.1,0,0,0,0,0,5,0,0,0
Eucgr.B02176.1,0,3,4,2,6,2,3,1,29
Eucgr.B02849.1,0,0,0,0,3,3,0,1,2
Eucgr.B01140.1,170,177,201,113,91,97,122,133,181
Eucgr.B02315.1,0,0,0,0,0,0,0,0,0
Eucgr.B02887.1,280,478,409,687,410,650,367,315,375
Eucgr.B01290.1,0,0,0,0,0,0,0,0,0
Eucgr.B01451.1,395,496,406,559,400,567,522,365,533
Eucgr.B01897.1,0,0,0,0,0,0,0,0,1
Eucgr.B00394.1,1053,1529,1200,1501,1193,1553,1250,1278,1458
Eucgr.B02914.1,0,0,0,0,0,0,0,0,0
Eucgr.B00949.1,468,1120,908,1657,1092,1520,655,1199,832
Eucgr.B01297.1,203,258,191,251,193,332,257,258,224
Eucgr.B03426.1,53,1,34,1,2,2,18,15,88
Eucgr.B00744.1,6,20,5,53,30,65,7,17,6
Eucgr.B01286.1,379,461,339,288,269,343,480,323,414
Eucgr.B03500.1,330,310,307,255,226,267,331,278,370
Eucgr.B03677.1,906,283,461,101,334,401,4024,2249,5730
Eucgr.B02404.1,27,4,32,28,14,51,21,18,24
Eucgr.B02650.1,7,2,6,67,28,56,8,23,23
Eucgr.B01820.1,1203,1240,1463,586,579,642,909,501,1582
Eucgr.B01726.1,0,0,0,0,0,1,0,0,0
Eucgr.B00370.1,531,617,606,975,641,835,534,480,686
Eucgr.B03452.1,0,0,0,0,0,0,0,0,0
Eucgr.B02957.1,0,0,0,0,0,0,0,0,0
Eucgr.B00300.1,0,0,0,0,0,0,0,0,0
Eucgr.B02300.1,57,80,51,40,52,39,49,36,35
Eucgr.B03594.1,9,10,5,3,0,5,7,8,1
Eucgr.B02193.1,1,1,1,0,0,0,5,3,0
Eucgr.B01607.1,0,0,0,0,0,0,0,0,0
Eucgr.B01760.1,2513,3125,3301,2861,2466,3080,2819,4070,3814
Eucgr.B03275.1,95,223,132,142,120,151,349,210,153
Eucgr.B02324.1,33,279,25,850,585,808,32,179,22
Eucgr.B03344.1,29,16,16,0,2,1,7,23,22
Eucgr.L00396.1,9,12,14,34,9,24,42,13,67
Eucgr.B02498.1,249,169,265,31,31,33,29,36,59
Eucgr.B00235.1,0,0,0,0,0,0,0,0,0
Eucgr.B03142.1,344,202,286,311,329,385,326,263,407
Eucgr.B00404.1,2,32,5,3,3,8,0,3,2
Eucgr.B02975.1,2,3,9,11,17,12,27,389,90
Eucgr.B01043.1,0,0,0,0,1,0,1,0,3
Eucgr.B03465.1,1764,2080,1794,2040,1675,2002,1485,1151,1536
Eucgr.B02516.1,0,0,0,0,0,0,0,0,0
Eucgr.B00461.1,16,4,8,13,9,27,27,10,37
Eucgr.B01774.1,756,541,700,407,447,487,917,586,855
Eucgr.B03918.1,2,7,2,3,3,0,11,0,3
Eucgr.B01400.1,7,0,0,0,3,2,4,6,10
Eucgr.B01011.1,447,1366,547,1992,1575,2124,882,1433,2205
Eucgr.B03636.1,67,49,61,25,35,45,65,35,27
Eucgr.B00968.1,1,0,0,0,0,0,0,2,0
Eucgr.B00667.1,2,1,2,2,0,0,1,1,0
Eucgr.B03996.1,589,1012,1083,997,543,1348,1465,1710,2270
Eucgr.B01663.1,17,1,12,7,1,2,31,19,12
Eucgr.B00640.1,477,566,570,620,463,667,572,405,458
Eucgr.B03609.1,3,2,0,3,6,6,7,1,1
Eucgr.B01326.1,2,1,7,14,7,25,7,53,10
Eucgr.B00682.1,0,0,0,0,0,0,1,0,1
Eucgr.B03269.1,287,197,254,263,212,316,401,384,144
Eucgr.B03089.1,693,848,738,1482,890,1459,168,185,249
Eucgr.B01551.1,0,0,0,0,0,2,0,0,0
Eucgr.B01252.1,7,4,7,3,0,0,5,13,31
Eucgr.B02690.1,2,4,2,17,17,60,9,11,19
Eucgr.B03535.1,370,467,411,465,329,414,429,429,388
Eucgr.B01189.1,226,298,225,270,244,340,303,276,553
Eucgr.B00732.1,1224,1399,1396,2182,1740,2103,1399,1401,1274
Eucgr.B00870.1,0,0,1,0,3,1,92,54,88
Eucgr.B03111.1,36,40,24,6,19,9,35,18,66
Eucgr.B01549.1,308,213,250,41,51,59,309,423,419
Eucgr.B02238.1,10,8,1,0,2,1,1,0,9
Eucgr.B03223.1,5,2,2,0,3,0,5,1,1
Eucgr.B03528.1,441,674,506,667,439,657,440,409,512
Eucgr.B01382.1,822,1396,897,2039,1497,1736,852,882,858
Eucgr.B01098.1,13,22,15,0,10,3,9,5,30
Eucgr.B03205.1,587,113,434,146,219,242,217,218,452
Eucgr.B01915.1,540,454,593,656,559,912,963,724,1171
Eucgr.B02909.1,106,63,121,137,124,219,100,223,90
Eucgr.B03491.1,601,612,807,609,598,821,769,1070,1316
Eucgr.B01705.1,0,1,0,0,1,1,1,2,0
Eucgr.B02502.1,806,1051,947,1114,840,1198,636,510,618
Eucgr.B01102.1,5,8,11,15,17,19,10,6,31
Eucgr.B02123.1,4,2,2,6,2,1,0,5,5
Eucgr.B01351.1,0,0,0,0,0,0,0,0,0
Eucgr.B03682.1,115,245,130,564,369,438,269,353,709
Eucgr.B03398.1,26,26,21,78,83,129,163,236,606
Eucgr.B02904.1,0,0,0,0,0,1,1,0,3
Eucgr.D02037.1,798,1614,1726,1527,1190,1510,1402,1196,1524
Eucgr.B03716.1,101,70,66,41,46,57,216,236,99
Eucgr.B00595.1,198,313,245,295,201,281,143,201,314
Eucgr.B00208.1,0,0,0,0,0,0,0,0,0
Eucgr.B03020.1,10,11,2,18,13,10,10,10,13
Eucgr.B02844.1,0,0,0,0,0,0,0,0,0
Eucgr.B01979.1,0,0,0,0,0,0,0,0,0
Eucgr.B01611.1,0,0,0,0,0,0,0,0,0
Eucgr.B00166.1,494,535,516,425,374,443,570,600,656
Eucgr.B01083.1,0,0,0,0,0,0,0,0,0
Eucgr.B03366.1,23,24,20,4,10,6,65,64,51
Eucgr.B01384.1,0,0,0,1,0,0,0,0,0
Eucgr.B01936.1,1166,1036,1274,842,760,880,1045,1146,1184
Eucgr.B02985.1,3,12,3,70,29,117,1,5,2
Eucgr.B02114.1,102,111,103,82,95,114,119,53,144
Eucgr.B00786.1,1,6,2,18,7,9,6,6,9
Eucgr.B00698.1,0,0,0,0,0,1,0,0,2
Eucgr.B02483.1,638,708,616,613,529,501,583,478,614
Eucgr.B03419.1,80,228,156,427,267,411,97,127,76
Eucgr.B00854.1,0,2,1,0,0,2,0,0,1
Eucgr.B01642.1,0,0,0,2,4,3,12,15,0
Eucgr.B00388.1,0,0,0,0,1,0,0,0,0
Eucgr.B01274.1,0,0,0,0,3,0,0,0,0
Eucgr.B00475.1,0,0,0,0,0,0,0,0,0
Eucgr.B03621.1,3416,3601,3843,5319,3617,5039,2119,2104,2402
Eucgr.B02894.1,0,0,0,0,0,0,0,0,0
Eucgr.B01742.1,42,95,31,1258,686,1455,2250,2399,13529
Eucgr.B00864.1,16,3,9,0,1,0,14,2,3
Eucgr.B02167.1,0,0,0,0,0,0,0,0,0
Eucgr.B01022.1,35,20,44,2,50,14,95,103,77
Eucgr.B01996.1,157,73,138,96,122,178,407,234,418
Eucgr.B03047.1,0,0,0,1,1,0,1,1,7
Eucgr.B00633.1,0,0,0,0,0,0,0,0,0
Eucgr.B02933.1,0,0,3,0,0,0,0,0,4
Eucgr.B00255.1,107,77,83,50,147,205,961,524,724
Eucgr.B02133.1,609,560,590,458,476,616,492,519,564
Eucgr.B02041.1,0,0,0,0,0,0,0,0,8
Eucgr.B02481.1,114,117,95,80,85,75,197,215,225
Eucgr.B02622.1,826,924,871,918,672,923,865,775,1034
Eucgr.B00477.1,0,0,0,0,0,0,0,0,0
Eucgr.B02667.1,4,2,0,8,3,7,0,1,0
Eucgr.B02307.1,1654,1725,1510,1410,1412,1535,1713,1633,1994
Eucgr.B03937.1,430,172,230,195,146,498,801,597,973
Eucgr.B00331.1,0,6,0,0,0,0,0,0,17
Eucgr.B03497.1,39,50,53,41,36,44,90,153,15
Eucgr.B00079.1,116,61,98,65,96,99,227,158,298
Eucgr.B03433.1,349,391,432,551,469,638,563,526,597
Eucgr.B02272.1,721,868,832,719,632,806,957,1165,1200
Eucgr.B03752.1,155,252,219,269,182,273,250,210,237
Eucgr.B00841.1,2,8,1,8,2,10,6,0,16
Eucgr.L00270.1,125,130,146,105,127,151,136,142,183
Eucgr.B01120.1,12,33,11,17,22,46,32,23,135
Eucgr.B00723.1,218,98,184,104,82,77,92,94,120
Eucgr.B03007.1,127,119,141,109,85,78,51,87,70
Eucgr.B02476.1,231,280,169,170,136,140,222,96,100
Eucgr.B01696.1,0,0,0,0,0,0,0,0,0
Eucgr.B02108.1,66,40,45,42,51,63,98,60,186
Eucgr.B02446.1,0,0,0,1,0,0,1,0,0
Eucgr.B02862.1,334,434,382,384,292,370,306,287,407
Eucgr.B01597.1,153,323,229,337,237,294,145,179,251
Eucgr.B03641.1,101,210,127,14,30,11,59,19,18
Eucgr.B02488.1,0,0,0,0,0,0,1,0,0
Eucgr.B01628.1,616,991,744,995,750,1065,927,223,824
Eucgr.B03068.1,25,74,29,220,159,413,394,708,1962
Eucgr.B00994.1,0,0,0,0,0,0,0,0,0
Eucgr.B03727.1,48,81,52,46,48,78,69,87,66
Eucgr.B00143.1,1078,316,561,388,586,675,1149,1216,1871
Eucgr.B02676.1,36,23,14,16,9,13,10,8,24
Eucgr.B03865.1,241,62,249,1251,1175,1754,613,2351,3286
Eucgr.B02344.1,1,0,2,0,1,0,3,3,6
Eucgr.B01020.1,0,0,0,0,0,0,0,0,0
Eucgr.B02179.1,0,0,0,0,0,3,0,11,0
Eucgr.B00708.1,0,0,0,0,0,0,0,0,0
Eucgr.B00163.1,0,0,0,0,0,0,0,0,0
Eucgr.B03756.1,337,78,222,54,90,125,284,344,330
Eucgr.B01738.1,776,728,760,413,481,512,631,656,723
Eucgr.B03405.1,147,110,111,131,102,147,217,113,168
Eucgr.L01268.1,0,0,0,0,0,0,0,0,0
Eucgr.B03672.1,2427,2607,2610,2001,1550,2090,2537,1884,1977
Eucgr.B00614.1,1381,1906,1547,1854,1367,1681,1152,1060,1331
Eucgr.B03254.1,1,0,0,1,3,5,2,2,28
Eucgr.B03092.1,238,240,226,380,257,415,199,161,162
Eucgr.B00503.1,0,0,0,0,0,0,0,0,0
Eucgr.B01360.1,158,158,158,209,167,223,248,147,258
Eucgr.B03614.1,114,71,86,35,39,83,57,57,137
Eucgr.B01710.1,11,22,14,21,4,13,16,16,18
Eucgr.B01601.1,0,11,1,37,29,80,2,0,1
Eucgr.B03249.1,3,5,1,2,1,5,1,3,1
Eucgr.B00381.1,921,1188,1027,1647,1118,1509,787,627,918
Eucgr.B03968.1,1,0,0,0,0,0,0,0,0
Eucgr.B01305.1,241,236,199,139,147,195,156,207,235
Eucgr.B02393.1,7,0,1,0,4,1,0,2,2
Eucgr.B03707.1,0,0,0,0,0,0,0,0,3
Eucgr.B00759.1,0,3,0,0,1,0,1,0,0
Eucgr.B03825.1,39,33,29,19,24,28,59,35,58
Eucgr.B03650.1,0,0,0,1,0,1,0,0,0
Eucgr.B03221.1,0,0,0,0,0,0,0,0,0
Eucgr.B01357.1,97,261,161,124,111,156,57,70,43
Eucgr.B03291.1,0,0,0,0,0,0,0,0,0
Eucgr.B02092.1,2,0,2,8,4,9,0,4,1
Eucgr.B03657.1,6,17,55,1,48,0,8,1,9
Eucgr.B03124.1,0,0,0,0,0,0,2,0,3
Eucgr.B01555.1,2715,4416,2891,2685,1880,2423,2650,1855,2613
Eucgr.B01243.1,0,0,0,0,0,0,0,0,0
Eucgr.B02821.1,323,212,324,277,270,386,280,228,192
Eucgr.B02283.1,637,936,818,820,679,827,864,839,925
Eucgr.B02925.1,17,5,6,4,2,2,16,5,3
Eucgr.B02183.1,9,3,2,5,3,16,405,468,231
Eucgr.B02950.1,0,0,0,0,0,0,0,0,0
Eucgr.B01468.1,333,421,247,17,29,43,485,541,422
Eucgr.B01852.1,65,3,29,0,1,0,7,15,0
Eucgr.B00100.1,60,22,44,3,12,6,124,141,99
Eucgr.B02417.1,90,120,101,158,53,141,151,126,196
Eucgr.B02346.1,94,307,76,215,169,152,220,155,146
Eucgr.B00097.1,7,7,2,14,1,10,3,5,2
Eucgr.B02218.1,0,0,0,0,4,0,1,2,0
Eucgr.B01270.1,219,420,253,225,171,260,289,239,638
Eucgr.B03610.1,0,0,0,0,0,0,0,0,0
Eucgr.B03597.1,0,0,0,0,0,0,0,0,0
Eucgr.B03838.1,0,0,0,0,0,0,0,0,0
Eucgr.B00470.1,334,316,307,756,465,704,328,372,506
Eucgr.B01213.1,0,0,0,0,0,0,0,0,0
Eucgr.B03135.1,181,91,406,210,129,223,221,321,2539
Eucgr.B02287.1,410,573,523,264,155,305,453,710,755
Eucgr.B00297.1,917,1057,1158,1429,1070,1391,1014,1026,1291
Eucgr.B02015.1,2,1,0,0,0,0,0,4,0
